Id,Predicted
114982,352627.7181836013
95653,509070.9490119461
40303,357748.80032785423
109506,217786.93652640842
100149,413796.7828792464
7610,334638.82517855614
61101,334613.3367338255
68167,502970.9514936991
65701,366223.22859200835
56039,276273.34350764565
81919,473274.66678119637
99768,462954.1692705862
124053,653730.9143579584
3942,380645.08711852506
118904,514538.77183918655
30060,383793.2568585165
185729,564069.4277382363
46357,715003.6155746505
20662,385884.63038418815
102274,488437.319590006
53369,146350.79712250642
9719,370355.16668470576
20145,299649.40803888626
159051,580269.7910355832
31481,299002.56377708353
142247,382118.3850434553
29119,356463.7954807542
151448,433014.4012140203
60594,291185.7566580735
83400,507892.87523886
40168,310125.06652502343
52407,404236.5935937632
127232,504964.07520470396
131188,404784.1997766774
952,193725.54973032326
166230,468418.87707732804
144844,409162.27088169754
33207,308800.47167701274
28355,706155.8015208319
179918,655382.2623748519
162451,759983.2595053855
19390,257768.1488591209
114861,451817.0459096022
132259,379750.89562239125
180033,701886.8869778533
97052,491738.03159895353
94224,430046.12275599316
32295,509713.5465894267
171908,771857.5008097552
80236,488356.62386660464
156193,453584.15804732963
54494,342193.83983732015
174530,648121.9708389025
143835,345985.0346083008
26275,363346.74760313146
61627,676568.8305403758
49813,365935.8471055925
3466,524187.39463318326
117691,501430.11784688756
132738,553929.4916959051
114211,557832.6825649347
116741,502288.3454015758
39246,421097.88178846985
150011,353027.2433014475
182319,565753.0674425904
32441,329269.09596021473
18842,383309.07058850676
99428,421543.1383969914
96435,436163.54449001886
134803,363033.27893098816
171636,572795.1517736111
115944,512990.7156282477
149001,522214.9221008457
19084,400331.0495146308
178128,661648.248084819
74818,371351.1985664312
49603,250287.3397116214
86262,635891.9998483863
14520,302594.81691460125
57209,782112.3055875059
148575,632259.0229112469
33,211472.55649472214
180401,689384.5672452077
87114,470345.732204549
16450,355994.1842469964
28848,309705.04668886214
11519,268479.97065832466
7202,290167.2090671044
2843,269933.1983940676
156073,521700.63230648264
132217,453805.45919516496
140349,520528.49369324
34614,318034.69700916484
135594,423569.7307518162
170933,744810.5462066978
62586,423203.01253256574
145868,399338.2560916953
15155,110457.9323510956
61290,315163.1660915874
184569,575919.5026235152
169996,463097.8320699688
7026,395957.39656691626
128356,418464.0155980028
134501,476069.57406667434
163406,581859.1875326484
56796,420739.7795754187
174870,687745.3635925949
142554,528570.896583071
